1.fa.gz,2.fa.gz,3.fa.gz,4.fa.gz,5.fa.gz
1.0,0.0,0.0,0.0,0.35
0.0,1.0,0.03,0.048,0.0
0.0,0.03,1.0,0.39,0.0
0.0,0.048,0.39,1.0,0.0
0.35,0.0,0.0,0.0,1.0
